Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,Accum_y-1
1336,315,551,1281,1165,1182,318,251
1316,335,551,1247,1083,1258,358,251
1275,323,604,1246,1084,1214,402,255
1275,322,605,1246,1084,1193,423,279
1248,349,608,1178,1152,1099,517,279
1180,418,608,1178,1152,1004,612,279
931,667,426,1360,1152,926,690,279
882,728,394,1392,1152,770,846,283
896,763,395,1390,1154,701,915,295
896,763,357,1375,1206,700,917,295
896,699,421,1374,1207,700,917,295
1043,706,397,1398,1162,701,961,299
1121,767,396,1399,1159,704,961,310
947,962,396,1399,1159,472,1193,336
977,951,407,1402,877,754,1193,369
942,986,296,1392,980,772,1186,311
927,1014,290,1339,1038,695,1264,306
907,1034,287,1340,961,708,1330,293
901,1040,287,1197,1062,750,1330,271
990,1040,281,1194,1071,748,1327,270
964,1066,281,1191,1074,717,1358,269
846,1184,281,1106,1159,717,1303,268
799,1170,342,906,1215,819,1297,266
555,1373,383,610,1508,822,1275,266
526,1402,383,459,1592,889,1196,266
518,1397,390,443,1614,889,1196,266
515,1380,410,438,1609,857,1238,266
528,1336,454,437,1480,963,1262,207
528,1336,454,437,1480,960,1265,126
528,1336,454,437,1479,954,1260,124
544,1336,446,445,1462,970,1238,124
545,1336,315,551,1281,1165,1182,124
545,1316,335,551,1247,1083,1258,124
545,1275,323,604,1246,1084,1214,120
545,1275,322,605,1246,1084,1193,96
668,1248,349,608,1178,1152,1099,97
670,1180,418,608,1178,1152,1004,97
670,931,667,426,1360,1152,926,97
658,882,728,394,1392,1152,770,93
608,896,763,395,1390,1154,701,87
690,896,763,357,1375,1206,700,95
693,896,699,421,1374,1207,700,116
562,1043,706,397,1398,1162,701,167
504,1121,767,396,1399,1159,704,579
511,947,962,396,1399,1159,472,589
478,977,951,407,1402,877,754,564
491,942,986,296,1392,980,772,698
478,927,1014,290,1339,1038,695,708
497,907,1034,287,1340,961,708,784
513,901,1040,287,1197,1062,750,784
424,990,1040,281,1194,1071,748,788
424,964,1066,281,1191,1074,717,860
425,846,1184,281,1106,1159,717,1055
573,799,1170,342,906,1215,819,1208
693,555,1373,383,610,1508,822,1302
778,526,1402,383,459,1592,889,1608
936,518,1397,390,443,1614,889,1659
937,515,1380,410,438,1609,857,1671
925,528,1336,454,437,1480,963,1669
989,528,1336,454,437,1480,960,1690
1032,528,1336,454,437,1479,954,1719
1146,544,1336,446,445,1462,970,1737
1162,545,1336,315,551,1281,1165,1758
1162,545,1316,335,551,1247,1083,1776
1289,545,1275,323,604,1246,1084,1779
1352,545,1275,322,605,1246,1084,1779
1460,668,1248,349,608,1178,1152,1778
1491,670,1180,418,608,1178,1152,1783
1493,670,931,667,426,1360,1152,1826
1533,658,882,728,394,1392,1152,1841
1533,608,896,763,395,1390,1154,1872
1452,690,896,763,357,1375,1206,1883
